datetime,open,high,low,close,volume,date,bb_bbm,bb_bbh,bb_bbl,bb_vm,bb_vh,bb_vl,rsi
1644496200000,43710.94,43773.76,43657.28,43748.78,2501.462,2022-02-10 12:30:00,44256.303500000075,44832.400836399385,43680.206163600764,7871.767640000014,12982.442144231209,2761.0931357688146,40.72545020402632
1644498000000,43748.77,43838.77,43703.56,43807.92,2924.998,2022-02-10 13:00:00,44248.440000000075,44844.17563022157,43652.70436977861,7873.949020000014,12982.464628197278,2765.4334118027505,42.549058175637015
1644499800000,43807.92,43896.96,43531.1,43760.77,7798.953,2022-02-10 13:30:00,44229.141000000076,44860.732141539745,43597.54985846042,7925.135280000013,13006.929336546003,2843.341223454024,41.45405519961874
1644501600000,43760.78,43826.03,43678.77,43799.01,3089.722,2022-02-10 14:00:00,44189.26150000009,44823.724409937575,43554.798590062586,7925.236220000013,13006.934128262163,2843.53831173786,42.741087114270684
1644503400000,43799.01,43881.91,43735.0,43851.95,2820.284,2022-02-10 14:30:00,44159.105500000085,44797.48675333883,43520.72424666134,7909.653760000012,13004.575245101743,2814.73227489828,44.55819452190625
1644505200000,43851.94,43917.88,43731.49,43760.93,3643.226,2022-02-10 15:00:00,44120.891500000085,44758.53687966369,43483.246120336495,7916.020930000012,13005.205557367668,2826.8363026323573,42.08530046797291
1644507000000,43761.52,43976.31,43728.0,43849.58,5772.4659999999985,2022-02-10 15:30:00,44076.20650000009,44655.73486887111,43496.67813112906,7918.457250000012,13006.5566887661,2830.357811233925,45.27111935794913
1644508800000,43849.58,43966.0,43828.01,43957.97,2620.953,2022-02-10 16:00:00,44044.51400000009,44575.042029242,43513.985970758185,7895.405450000012,13002.197004577583,2788.613895422439,48.967480891688346
1644510600000,43957.96,44106.45,43914.0,44066.19,3626.958,2022-02-10 16:30:00,44025.67300000009,44524.04456226994,43527.30143773024,7731.462920000012,12707.835862488551,2755.0899775114726,52.42258928080968
1644512400000,44066.19,44277.0,44030.0,44134.98,6808.228,2022-02-10 17:00:00,44016.516500000085,44499.55332299218,43533.47967700802,7550.6139900000135,12219.112664507342,2882.1153154926837,54.52996708235625
1644514200000,44134.99,44243.05,44089.19,44189.67,3503.731,2022-02-10 17:30:00,43999.4405000001,44429.76233055751,43569.11866944269,7428.612590000013,12041.530555118303,2815.694624881719,56.191346405932045
1644516000000,44189.67,44450.0,44077.0,44368.54,7810.382,2022-02-10 18:00:00,44000.3310000001,44433.62043157128,43567.04156842892,7433.923550000011,12046.97226436823,2820.874835631792,61.18641603047488
1644517800000,44368.54,44413.35,44281.04,44377.2,3341.933,2022-02-10 18:30:00,44001.2870000001,44437.80189665229,43564.7721033479,7424.205250000011,12044.834411035825,2803.576088964198,61.41579640061326
1644519600000,44377.2,44720.73,44334.41,44644.41,10809.223,2022-02-10 19:00:00,44026.778500000095,44543.60924847227,43509.947751527936,7341.31500000001,11824.070152878576,2858.559847121445,67.74914305835158
1644521400000,44644.41,44750.0,44502.52,44627.62,6996.4230000000025,2022-02-10 19:30:00,44053.165500000105,44632.35654210478,43473.97445789543,7258.00850000001,11668.407573132517,2847.609426867501,67.00490311417764
1644523200000,44627.62,45000.0,44540.43,44925.02,12441.741000000002,2022-02-10 20:00:00,44094.167500000105,44787.151419431364,43401.183580568846,7202.37156000001,11510.754502332558,2893.9886176674618,72.72114129922234
1644525000000,44925.02,45172.65,44656.41,44815.74,18806.891,2022-02-10 20:30:00,44123.0035000001,44882.501741081884,43363.50525891832,7218.8445300000085,11568.221283763523,2869.4677762364972,68.05552818280248
1644526800000,44815.73,44979.52,44565.31,44733.46,12253.588,2022-02-10 21:00:00,44145.2005000001,44947.604780705486,43342.796219294716,7239.249600000008,11607.372042995516,2871.1271570045037,64.69021923602409
1644528600000,44733.47,44857.58,44553.66,44797.71,8786.771,2022-02-10 21:30:00,44196.4250000001,45027.590845746505,43365.25915425368,7276.075100000008,11641.565028193312,2910.5851718067047,66.09991642089277
1644530400000,44797.71,45068.25,44736.0,44932.03,8861.731,2022-02-10 22:00:00,44257.4740000001,45115.98078891407,43398.967211086136,7290.066420000008,11658.372921471853,2921.759918528166,68.89569957574251
1644532200000,44930.84,44934.05,43600.0,43628.82,57977.42,2022-02-10 22:30:00,44251.4760000001,45125.64832615288,43377.30367384732,7822.986400000009,14487.994606267346,1157.9781937326698,37.00667697893479
1644534000000,43628.39,43715.0,43136.96,43486.73,29132.514,2022-02-10 23:00:00,44235.4165000001,45152.34862918216,43318.484370818034,7952.354150000008,14898.254248562793,1006.4540514372284,35.09911334917548
1644535800000,43491.6,44391.73,43482.51,44367.8,28323.011,2022-02-10 23:30:00,44265.76800000009,45157.6911432918,43373.844856708376,8078.667910000008,15274.517056383069,882.8187636169469,51.718394372195746
1644537600000,44367.8,45500.0,44144.73,44978.1,45639.617,2022-02-11 00:00:00,44324.72250000009,45240.983996948635,43408.46100305155,8434.57055000001,16541.5423161109,327.59878388912153,59.46197503620731
1644539400000,44978.09,45700.0,44717.59,44936.02,37313.852,2022-02-11 00:30:00,44378.926000000094,45305.110221681396,43452.74177831879,8733.426000000009,17333.63994756474,133.21205243527766,58.762173298476206
1644541200000,44936.81,45480.0,44809.09,45412.84,21394.712000000003,2022-02-11 01:00:00,44461.52150000009,45445.361409073936,43477.68159092624,8896.587240000008,17580.2823968629,212.8920831371124,63.94080607922848
1644543000000,45412.83,45550.0,45050.51,45367.15,15236.671,2022-02-11 01:30:00,44537.400000000096,45554.281947797106,43520.51805220308,8920.401360000009,17618.17407862267,222.62864137734505,63.12279916567152
1644544800000,45367.16,45847.5,45272.78,45616.14,16927.128,2022-02-11 02:00:00,44620.3085000001,45702.96347311317,43537.653526887014,8848.099160000009,17448.416243832828,247.7820761671901,65.69818001097951
1644546600000,45616.13,45743.19,45000.0,45314.45,19393.187,2022-02-11 02:30:00,44682.72150000009,45774.287935232736,43591.15506476744,8944.951000000008,17608.70700377504,281.1949962249746,60.211302929834616
1644548400000,45314.44,45389.69,44900.0,44936.29,11713.028,2022-02-11 03:00:00,44722.78700000009,45789.53512024193,43656.03887975824,8962.135100000009,17629.659388649306,294.61081135071066,54.110931730793574
